Link,Mobile Name,Price,Rating,Comments,Seller Name,Positive Seller Ratings,Ship on Time,Chat Response Rate
https://www.daraz.pk/products/a54-8gb-256gb-50mp-5000mah-i432931498-s2070407091.html?search=1,"Samsung A54 , 8GB RAM 256GB RAM , 50MP Main Camera , 5000mAh Fast Charging","Rs. 156,200",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/30-4gb-64gb-6000mah-18-i426999355-s2026550208.html?search=1,Infinix Hot 30 Play 4GB Ram 64GB Rom 6000mAh Battery 18W Charger,"Rs. 30,999",4.3,"['The product is so amazing and received in 💯 condition same as was shown in photos and the packing is so good, Also the vendor is very trusty Thank you daraz😍😍', 'Good product i like it.. thanks to the team of daraz and seller.. thanks for cooperation', 'satisfied with seller thank you', 'All good, rather best, however there was no hands free in the box. I am not sure whether it is normally there or not.', 'Very beautiful mobile, attractive and as per demand.', 'Excellent service and satisfied', 'orignsl product', 'Zabardast', 'satisfied with seller thank you', 'me Infinix hot 30 play mobile installment pa purchase kia Lekin mery credit card se full payment pay krna pari. installment pa en se chez purchase krna fzol ha. ab mobile purchase kye 20 days hue us ka finger print lock khrab ho gya sensor Kam nae kr rha ab me kha WPS kro warranty me ha mobile uper se full payment krna par gae. bad experience for purchase mobile on draz...', 'non warranty mobile bhaj dia ha seller fraud kr rha ha', '', '', '', '']",MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/vivo-y02t-651-inch-display-4gb-ram-64gb-rom-i427997375-s2034407933.html?search=1,"Vivo Y02t - 6.51"" Inch Display - 4GB RAM - 64GB ROM","Rs. 34,399",5.0,[],Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/samsung-galaxy-a04-4gb-ram-64gb-rom-65-inches-ips-display-5000-mah-battery-charging-78w-i396478373-s1921814672.html?search=1,Samsung Galaxy A04 || 4GB Ram 64GB Rom || 6.5 Inches IPS Display || 5000 mAh - Battery charging 7.8W,"Rs. 34,999",5.0,"['mobile bohat acha hai shukriya sir fast delivery k liye mujhe pasand aya', 'The seller did not pack this properly. I should be packed in some solid box, but it was wrapped in a single plastic sheet, which is very dangerous during logistic s, more over there is no samsung headphone included.', 'best service and boxed phone delivered. Will.definetly recommend to others.', 'Thanks for delivered on time', '']",MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/6gb-a24-128gb-65-5000mah-i433693938-s2081331211.html?search=1,Samsung A24 - 6GB RAM 128GB ROM - 6.5 Inches Display - 5000mAh Battery,"Rs. 70,499",,[],KE traders,88%,80%,100%
https://www.daraz.pk/products/z-4-67-8gb-256gb-i428418804-s2037498182.html?search=1,"Samsung Galaxy Z Flip 4 - 6.7"" Inch Foldable Display - 8GB RAM - 256GB ROM","Rs. 249,999",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/samsung-galaxy-note-20-ultra-5g-69inches-12gb-ram-128gb-rom-single-sim-i419813926-s1984979862.html?search=1,Samsung Galaxy Note 20 Ultra 5G - 6.9inches - 12GB RAM - 128GB ROM - Single Sim,"Rs. 179,990",,[],New All In One,78%,95%,45%
https://www.daraz.pk/products/a23-6gb-66-gb-i428281892-s2035843505.html?search=1,"Samsung Galaxy A23 - 6.6"" Inch Display - 6GB RAM - 128GB ROM","Rs. 70,000",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/10s-6gb-128gb-48mp-g85-i227139320-s1446778958.html?search=1,Infinix Hot 10S 6GB 128GB - 48MP Camera - Helio G85 Processor Box Pack,"Rs. 27,000",4.8,"['received my Mobile in time and packing was very good. hot 10s mobile is very good. seller is good n cooperative.', 'Color was not available which ordered so they changed. Rest all good', 'Good quality and price as compared to market. Thanks seller.', 'Color was not available which ordered so they changed. Rest all good']",Faizzy Tech,93%,100%,Not enough data
https://www.daraz.pk/products/20-8gb-256gb-64-mp-5000mah-i432436816-s2064570556.html?search=1,"Tecno Camon 20 Pro , 8GB RAM 256GB ROM , 64 MP Camera Main , 5000mAh Fast Charging","Rs. 62,999",4.9,"['big discount best mobile good response saller honest saller thnks saller', 'MashaAllah Original product receive hui Saler is very cooperative I am very satisfied😍 recommend to buy from this saler With trust💕', '', 'Bohat Acha Mobile phone hy Box Packed and PTA Approved Thanks Seller 🫡🫡🫡🫡🫡🫡', 'ALHAMDULIALLAH I GOT MY PRODUCT BEFORE TIME. THANKYOU SO MUCH ALHAMDULIALLAH TRADER.', 'Overall good experience Sellar was too cooperative Received mobile in perfect condition', 'Mashallah very nice 🙂', 'fantastic Products', '']",ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/samsung-a54-5g-64-inch-display-8gb-ram-i428866152-s2045902290.html?search=1,"Samsung A54 5G - 6.4"" Inch Display - 8GB RAM","Rs. 134,999",5.0,['Best seller original product thanks daraz'],Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/y36-8-gb-128-gb-16-mp-50-mp-2-mp-2-mp-li-po-5000-mah-i426892188-s2026148610.html?search=1,"Vivo Y36 ROM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 69,999",,[],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/c35-4gb-128gb-66-ips-18-i315586958-s1670758230.html?search=1,Realme C35 || 4GB Ram 128GB Rom || 6.6Inches IPS Display || 5000 mAh - Fast charging 18W,"Rs. 57,999",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/4gb-c35-128gb-5000-mah-i423891405-s2008123275.html?search=1,REALME C35 - 4GB RAM 128GB ROM - 5000 mAh BATTERY,"Rs. 40,699",,[],H.T Communication,96%,73%,100%
https://www.daraz.pk/products/samsung-galaxy-a73-5g-67-inch-display-8gb-ram-256gb-rom-i337211784-s1744763469.html?search=1,"Samsung Galaxy A73 5G - 6.7"" Inch Display - 8GB RAM - 256GB ROM","Rs. 204,999",5.0,"['Thanks shop tec and Daraz for such a nice phn.its original and PTA approved phon.seller is original and nice.phone was box packed and sealed.thank you so much', 'allahamdollilah very satisfied with samsung A73. delivery was on time! overall experience was great Happy to be a part of DARAZ FAMILY! my family has been a customer of daraz since last 6 or 7 years and we never ever got a bad thing! Hoping to have good experiences in future too, inshallah!', 'The product was in safe packaging. The color and specs were the same as I ordered. The delivery time is long, I had to wait 1 week for the product to be delivered at my address but the product is good.', 'recieved original one in sealed box pack and recomended seller for original samsung products in low price than other sellers', 'Delivery on time and God response by seller. Received pin pack phone.', 'original product and timely delivery', 'Good, genuine, pinpack product. Good and cooperate seller.', '', '', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/infinix-hot-20i-66-inch-display-4gb3gb-extended-ram-128gb-rom-i398311476-s2001134518.html?search=1,"Infinix Hot 20i - 6.6"" Inch Display - 4GB+3GB Extended RAM - 128GB ROM","Rs. 30,999",,[],HEAVEN TECHNOLOGIES,86%,76%,43%
https://www.daraz.pk/products/7-3-3gb-64gb-5000-mah-i423399325-s2004631428.html?search=1,INFINIX SMART 7 - 3+3GB RAM 64GB ROM - 5000 mAh BATTRY,"Rs. 28,999",5.0,[''],H.T Communication,96%,73%,100%
https://www.daraz.pk/products/c30-3gb-32gb-5000ma-i432872052-s2069497244.html?search=1,Realme C30 || 3GB Ram 32GB Rom || 5000mA Battery,"Rs. 21,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/50a-4-gb-64-gb-8-mp-50-mp-2-mp-03-mp-5000-mah-i423900416-s2008183631.html?search=1,"Realme Narzo 50A Prime RAM 4 GB ROM 64 GB Front Camera 8 MP Back Camera 50 MP + 2 MP + 0.3 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 39,999",5.0,"['Acha hy sab Kuch Sahi hy .Bettry 1 HR mein 8 % Kam ho the hy .Jb k koi video bhi Nahi watch ki hy on krny k baad 1 hr mein 8% Kam ho ge .jab k SIM hi no lagai thi .pihr bhi betrry ka issue ho ga is rahe GA in realme k cellphone mein .', 'Ha is the. Best mobil in his prise']",Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/7-4-gb-64-gb-5-mp-13-mp-03-mp-i412334224-s1969557372.html?search=1,,,,[],,,,
https://www.daraz.pk/products/12-8gb-256gb-g96-50mp-fhd-67-mah-i315013493-s1668675722.html?search=1,,,,[],,,,
https://www.daraz.pk/products/samsung-galaxy-a34-5g-66-inch-display-6gb-ram-128gb-rom-i424239126-s2010207805.html?search=1,,,,[],,,,
https://www.daraz.pk/products/tecno-pop-5-lte-652-inch-display-2gb-ram-32gb-rom-i390313334-s1914460193.html?search=1,"Tecno POP 5 LTE - 6.52"" Inch Display - 2GB RAM - 32GB ROM","Rs. 30,490",,[],New All In One,78%,95%,45%
https://www.daraz.pk/products/a-04-3-gb4-gb-32-gb64-gb-5-mp-5-mp-2-mp-li-po-5000-mah-i398152727-s1926527836.html?search=1,,,,[],,,,
https://www.daraz.pk/products/6-3gb-64gb-66-5000-mah-i427514992-s2030862720.html?search=1,,,,[],,,,
https://www.daraz.pk/products/galaxy-a04s-4gb-ram-128gb-rom-pta-approved-official-brand-warrannty-i424949489-s2012640593.html?search=1,,,,[],,,,
https://www.daraz.pk/products/samsung-a13-4gb64gb-i421074656-s1988357002.html?search=1,,,,[],,,,
https://www.daraz.pk/products/12-6gb-128gb-g85-13-8mp-90hz-682-5000-mah-i309996972-s1647562328.html?search=1,,,,[],,,,
https://www.daraz.pk/products/infinix-smart-6-3gb-ram-64gb-rom-66-inches-display-5000-mah-battery-i263594519-s1480568140.html?search=1,,,,[],,,,
https://www.daraz.pk/products/4gb-c33-64gb128gb-5000mah-i423958527-s2008551467.html?search=1,,,,[],,,,
https://www.daraz.pk/products/c30-2gb-32gb-wach-5000mah-i410390794-s1963152418.html?search=1,,,,[],,,,
https://www.daraz.pk/products/64gb-4gb-y22-50mp-655-mah-i404510048-s1949465060.html?search=1,,,,[],,,,
https://www.daraz.pk/products/c-30-4-gb-64-gb-ips-wach-65-mah-i432710192-s2068120147.html?search=1,,,,[],,,,
https://www.daraz.pk/products/3gb-y02-32gb-651-ips-lcd-5000mah-i426511934-s2024198716.html?search=1,,,,[],,,,
https://www.daraz.pk/products/samsung-galaxy-a04-3gb-32gb-official-pta-approved-official-warranty-i398440602-s1927450261.html?search=1,Samsung Galaxy A04 3GB - 32GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 37,499",4.6,"['It was good experience with samsung official store', 'Great experience with DARAZ as usual', 'the phone is the same as described', 'Great experience with DARAZ as usual', 'Original samsung product smart working in this price', 'original product at affordable price😊.', 'The ordered reached within 1 day . Looks good and fine until now. They called me before changing the color of mobile.', 'Official product. Nicely packet.', 'should have given the finger print too, my 4 year old phone had the feature and it should be the standard feature', 'nicely packed received in good condition delivery time is perfect however warranty card is missing', 'awesome product seller recommended', 'Great experience Alhamdolillah', 'Best phone hai !! In price range', 'Good phone. Just as expected', 'Excellent Product and Service😀😃.', '100% original', 'Warranty card is missing from the package , speed is slow which might be depends on 3gb ram … rest of the things are acceptable in this price range overall rating is 6/10', 'I ordered box pack phone from them, and they sent me already used phone. They just pack the box sealed it and put it the used phone in it, very disappointing. Now come to charging speed, almost took 4 hours to charge 50% battery', 'phone is lagging, touch system not works some time as well.bad phone. it has bad performance is bad bad experience phone is returned to Daraz because it is useless, bad item phone', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Samsung Official,84%,18%,Not enough data
https://www.daraz.pk/products/samsung-a14-6128-i422210787-s1998035735.html?search=1,Samsung A14 6/128,"Rs. 53,999",,[],Samsung,92%,100%,36%
https://www.daraz.pk/products/z-4-67-8gb-256gb-i428429073-s2037501390.html?search=1,"Samsung Galaxy Z Flip 4 - 6.7"" Inch Foldable Display - 8GB RAM - 512GB ROM","Rs. 367,000",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/y27-6-gb-128-gb-8-mp-50-mp-5000-mah-44w-i430795871-s2054808829.html?search=1,"Vivo Y27 RAM 6 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP Battery Capacity (Li-Po Non removable), 5000 mAh - Fast battery 44W","Rs. 62,980",,[],Ali Communication (Khanewal),96%,93%,99%
https://www.daraz.pk/products/30-8-gb-256-gb-32-mp-2-mp-2-mp-2-mp-108-mah-i429088182-s2046482070.html?search=1,"Infinix Note 30 Pro RAM 8 GB ROM 256 GB Front Camera 32 MP Back Camera 108 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 99,999",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/4gb-c30-64gb-8mp-5000mah-i429909568-s2047277115.html?search=1,"Realme C30 , 4GB RAM 64GB ROM , 8MP Main Camera , Corning Gorilla Glass , 5000mAh Battery","Rs. 25,999",,[],Bint e Saeed,87%,18%,96%
https://www.daraz.pk/products/samsung-galaxy-fold-4-76-inch-display-12gb-ram-i365611202-s1922279260.html?search=1,"Samsung Galaxy Fold 4 - 7.6"" Inch Display - 12GB RAM","Rs. 369,999",,[],Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/y02-3gb-32gb-5000mah-i426530007-s2024724639.html?search=1,Vivo Y02 || 3GB Ram 32GB Rom || 5000mAh Battery,"Rs. 29,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/s22-5g-108-mp-40-mp-12-gb-256-gb-5000-mah-i281526059-s1513657879.html?search=1,Samsung Galaxy S22 Ultra 5G | Main Camera 108 MP | Front Camera 40 MP | RAM 12 GB | ROM 256 GB | Battery 5000 mAh,"Rs. 440,000",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/samsung-galaxy-a23-66-inch-display-6gb-ram-128gb-rom-i299546186-s1620164886.html?search=1,"Samsung Galaxy A23 - 6.6"" Inch Display - 6GB RAM - 128GB ROM","Rs. 80,999",4.8,"['Phone is just awesome, its super fast, slim, light weight and dashing 🤩. Seller is very responsible and shipped the phone in safe bubble wrap packing. properly sealed, pin pack, PTA approved genuine device with e-warranty.', 'Very nice mobile, beautiful and comfortable.. Everything looks good and working well.. Camera also excellent. Recommended!', ""Delivered on time, mobile is new, seal was intact. Overall service is good. I'm satisfied."", 'warranty car missed hy.or hand free b . baqi Alhumdulillah sb okay hy acha fone hy thanks Daraz n Seller', 'original product received. overall satisifed.', 'I am satisfied with this amazing product well packed and timely received. thanks daraz and thanks seller.', 'Before time delivery and good packaging. This supplier is highly recommended.', 'good product fast delivery', 'Didnt receive warrany card nor the seller receipt.', 'awesome', 'Masha Allah, it is an original product Good packing and same product received But the charger is 15 watt', 'Very bad experience firsty confirm order than i was received mail about cancellation , mean while i was buy from market and after 1 day i received mail about delivery is under process dispite my email no one is bother to reply and i have no any option exept to receive parcel', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/a34-8gb-128gb-48mp-5000mah-i432625089-s2065363974.html?search=1,"Samsung A34 , 8GB RAM 256GB ROM , 48MP Main Camera , Fingersensor , 5000mAh Fast Chagng","Rs. 120,299",,[],Mobile Dot,88%,60%,59%
https://www.daraz.pk/products/7-4-gb-3gb-64-gb-5000mah-pta-i434313604-s2083050376.html?search=1,Infinix Smart 7 - 4GB +3GB Extended RAM - 64 GB ROM - 5000mAh Battery - One Year Brand Warranty - Official PTA Approved,"Rs. 26,699",,[],Mercato trading,91%,87%,100%
https://www.daraz.pk/products/vivo-y73-ram-8-gb-rom-128-gb-front-camera-16-mp-back-camera-64-mp-2-mp-2-mp-battery-type-li-po-4000-mah-non-removable-i416607889-s1977989038.html?search=1,"Vivo Y73 RAM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + 2 MP Battery Type Li-Po 4000 mAh, non-removable","Rs. 86,490",5.0,[],S 4 SHOPPING,93%,37%,100%
https://www.daraz.pk/products/realme-narzo-50-656-inch-display-4gb-ram-64gb-rom-i406761791-s1954716410.html?search=1,"Realme Narzo 50 - 6.56"" Inch Display - 4GB RAM - 64GB ROM","Rs. 39,999",4.8,"['Recieved in good condition Phone is good, but not for children, bcoz there are many unwanted apps and advertisements open by self, so please Realme keep some changes,', 'bohat zabardast phone hai, achi packing thi, safely ship hova. phone genuine hai aur pin pack bhi. Jazakallah', 'Alhamdulillah got my phone safe and secure. Work perfectly 👍', 'Recieved in good condition Phone is good, but not for children, bcoz there are many unwanted apps and advertisements open by self, so please Realme keep some changes,', 'Good Product, I Liked it!', 'Alhamdulillah got my phone safe and secure. Work perfectly 👍', 'Genuine product thanks to daraz and the seller.', 'bohat zabardast phone hai, achi packing thi, safely ship hova. phone genuine hai aur pin pack bhi. Jazakallah', 'Very nice mobile', 'Good experience', 'mash Allah bohut hi pyara mobile he pic pack thanks daraz', 'v happy and satisfied', 'Orignal PTA approved pin packed. Thank you seller.', ""Received my parcel on time ... Seller is very cooperative .. phone is good only one thing which i don't like is android version .."", 'Speedy delivery. Came within 2-3 days. Warranty card included. Seller called beforehand to inform about color issue and delivery.', 'Using product for more than a month now, no issues. Liked the fast usb-c charging port', 'Received a pin pack at a very good price (Daraz Expo) 👌', 'UI is a bit buggy but overall everything is good 👍🏻', 'Boht acha tha well packed . Original product 1 dm new', 'Excellent service. 💯 original product. thanks daraz', 'MASHA ALLAH same as shown', 'The phone is working perfect', 'Excellent products', 'Nice mobile', '👍', 'Phone was active 1 month before purchase????? How is this possible?? Today is August 14 and it shows it was activated over 1 month before with Sim? Phone active hy main complain kr rha hu', 'All r average...', '', '', '', '', '', '', '', '', '', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/3gb-y02s-32gb-651-5000mah-i433723685-s2081375486.html?search=1,vivo Y02s - 3GB RAM- 32GB ROM - 6.51 Inches Display - 5000mAh Battery,"Rs. 40,000",,[],KE traders,88%,80%,100%
https://www.daraz.pk/products/v27e-8gb-256gb-4600-mah-i432893291-s2069911249.html?search=1,,,,[],,,,
https://www.daraz.pk/products/samsung-galaxy-a04-3gb-ram-32gb-rom-65-inches-ips-display-5000-mah-battery-charging-78w-i396475802-s1921816540.html?search=1,,,,[],,,,
https://www.daraz.pk/products/y02-3-gb-32-gb-5-mp-8-mp-5000-mah-i426342554-s2023786669.html?search=1,,,,[],,,,
https://www.daraz.pk/products/realme-c35-18w-quick-charge-5000-mah167cm66-fhd-fullscreen-50mp-ai-triple-camera-i312467780-s1921592455.html?search=1,realme C35 18W Quick Charge 5000 mAh16.7cm（6.6'') FHD Fullscreen 50MP AI Triple Camera,"Rs. 46,480",5.0,"['Quick delivery, outstanding services of Daraz, same product as per order', 'Good Seller very fast delivery order delivered within 2 days']",Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/y27-6-gb-128-gb-8-mp-50-mp-5000-mah-44w-15-29-i430795769-s2054814026.html?search=1,"Vivo Y27 RAM 6 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP Battery Capacity (Li-Po Non removable), 5000 mAh - Fast battery 44W","Rs. 62,990",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/tecno-camon-19-neo-ram-6-gb-rom-128-gb-camera-front-32-mp-back-48-mp-2-mp-i334131116-s1730158065.html?search=1,Tecno Camon 19 Neo RAM 6 GB ROM 128 GB Camera Front 32 MP Back 48 MP +2 MP,"Rs. 55,000",,[],ALSAEED COMMUNICATION KHANEWAL,95%,70%,97%
https://www.daraz.pk/products/9-8gb-128gb-64-i423852200-s2008408125.html?search=1,Realme 9 Pro Plus - 8GB RAM 128GB ROM - 6.4 Inch Super Amoled Display,"Rs. 101,999",4.0,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/6gb-a34-128gb-5000-mah-i428289217-s2035884348.html?search=1,Samsung Galaxy A34 6GB Ram 128GB Rom 5000 mAh Battery,"Rs. 135,000",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/3gb-c30-32gb-65-ips-lcd-5000mah-i433508925-s2081014017.html?search=1,Realme C30 - 3GB RAM 32GB ROM - 6.5 Inches Display - IPS LCD - 5000mAh Battery,"Rs. 22,999",,[],KE traders,88%,80%,100%
https://www.daraz.pk/products/4gb-c21y-64gb-13mp-5000mah-i246106933-s1464243128.html?search=1,"Realme C21Y, 4GB RAM 64GB ROM, 13MP Main Camera , 5000mAh Battery","Rs. 34,970",5.0,[],Ali Communication (Khanewal),96%,93%,99%
https://www.daraz.pk/products/c-33-5-mp-50-mp-03-mp-5000-mah-i402518282-s1942914337.html?search=1,"Realme C 33 Front Camera 5 MP Back Camera 50 MP + 0.3 MP Battery Type Li-Po Non removable, 5000 mAh","Rs. 54,999",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/tecno-spark-10c-4gb-ram-128gb-rom-5000-mah-battery-i423448570-s2004948744.html?search=1,Tecno Spark 10C || 4GB Ram 128GB Rom || 5000 mAh Battery,"Rs. 31,999",4.9,"['Delivered safely in time & Nice cell phone.', 'genuine product non active kit pin pack and nice look', 'Good', 'Good', 'AMAZING MOBILE ❣️', 'Good', '', '', '']",MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/30-8-gb-256-gb-32-mp-2-mp-2-mp-2-mp-108-mah-i428832279-s2046482403.html?search=1,"Infinix Note 30 Pro RAM 8 GB ROM 256 GB Front Camera 32 MP Back Camera 108 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 64,999",5.0,['مجھے میرا ارڈر ایک دن کے اندر مل گیا ہے میں نے سیلر کو بولا تھا اور سیلر نے سپیشل ڈلیوری کروا دی سیلر بہت اچھا ہے'],ALSAEED COMMUNICATION KHANEWAL,95%,70%,97%
https://www.daraz.pk/products/6-652-10-pta-i256615499-s1473440982.html?search=1,"Tecno Spark 6 Go - 6.52"" - Android 10 - PTA Approved","Rs. 18,900",,[],Sargodha Mall.,96%,100%,Not enough data
https://www.daraz.pk/products/samsung-galaxy-a04e-65-inch-display-3gb-ram-i425222366-s2014032670.html?search=1,"Samsung Galaxy A04e - 6.5"" Inch Display - 3GB RAM","Rs. 30,590",,[],Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/8gb-y36-128gb-664-5000mah-i426953748-s2026319855.html?search=1,Vivo Y36 - 8GB RAM 128GB ROM - 6.64 Inches Display - 5000mAh Battery,"Rs. 62,999",5.0,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/7-66-2-2gb-64gb-5000mah-i427121204-s2027441562.html?search=1,Tecno Pop 7 - 6.6'' Big Screen 2+2GB RAM 64GB ROM 5000mAh Big Battery,"Rs. 26,500",,[],AHM Mobiles,90%,90%,94%
https://www.daraz.pk/products/4gb-y02t-64gb-8-mp-5000mah-i432690571-s2075763772.html?search=1,"Vivo Y02t , 4GB RAM 64GB ROM , Back Camera 8 MP , Fingersensor , 5000mAh Battery","Rs. 35,999",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/c-33-5-mp-50-mp-03-mp-5000-mah-i402523891-s1942931341.html?search=1,"Realme C 33 Front Camera 5 MP Back Camera 50 MP + 0.3 MP Battery Type Li-Po Non removable, 5000 mAh","Rs. 45,480",,[],Ali Communication (Khanewal),96%,93%,99%
https://www.daraz.pk/products/a34-8-gb-128-gb-13-mp-48-mp-8-mp-5-mp-5000-mah-i431007155-s2055798564.html?search=1,"Samsung Galaxy A34 RAM 8 GB ROM 128 GB Front Camera 13 MP Back Camera 48 MP + 8 MP+ 5 MP Battery Type Li-Po Non removable, 5000 mAh","Rs. 160,000",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/4gb-a04s-5000mah-i429694732-s2046021485.html?search=1,Samsung Galaxy A04s - 4GB Ram - 5000mah Battery - Official Warranty,"Rs. 46,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/4-gb-11-64-gb-5000-mah-i261260476-s1479227834.html?search=1,"Realme C 11 , 4 GB RAM 64 GB ROM , 5000 mAh Battery","Rs. 41,999",3.5,"[""Alert Alert everyone! product details me mbl finger print sensor Wala tha Lekin 2 numbri kr k mjy without finger print sensor Wala delivered krdea don't buy from this seler""]",Atta Communication Khanewal,94%,100%,100%
